Pixel,Intensity
-611.648969190591,484
-609.034695003186,509
-606.421010105476,542
-603.807914497461,513
-601.195408179141,516
-598.583491150517,526
-595.972163411587,521
-593.361424962352,537
-590.751275802813,531
-588.141715932969,523
-585.53274535282,535
-582.924364062366,504
-580.316572061607,521
-577.709369350543,512
-575.102755929174,524
-572.4967317975,518
-569.891296955522,515
-567.286451403238,557
-564.68219514065,523
-562.078528167757,508
-559.475450484559,522
-556.872962091056,528
-554.271062987248,531
-551.669753173135,526
-549.069032648718,526
-546.468901413995,562
-543.869359468968,547
-541.270406813635,571
-538.672043447998,579
-536.074269372056,586
-533.477084585809,608
-530.880489089257,643
-528.2844828824,672
-525.689065965239,680
-523.094238337772,754
-520.500000000001,780
-517.906350951924,854
-515.313291193543,924
-512.720820724857,1013
-510.128939545866,1174
-507.53764765657,1328
-504.946945056969,1600
-502.356831747063,1756
-499.767307726853,1804
-497.178372996337,1776
-494.590027555517,1574
-492.002271404392,1437
-489.415104542962,1137
-486.828526971227,1096
-484.242538689187,983
-481.657139696842,1040
-479.072329994192,972
-476.488109581238,1051
-473.904478457978,1052
-471.321436624414,1044
-468.738984080544,949
-466.15712082637,960
-463.575846861891,990
-460.995162187107,985
-458.415066802018,929
-455.835560706625,923
-453.256643900926,955
-450.678316384922,942
-448.100578158614,931
-445.523429222001,848
-442.946869575083,862
-440.370899217859,851
-437.795518150331,872
-435.220726372499,905
-432.646523884361,864
-430.072910685918,866
-427.499886777171,870
-424.927452158118,871
-422.355606828761,881
-419.784350789099,868
-417.213684039132,901
-414.64360657886,881
-412.074118408283,929
-409.505219527401,887
-406.936909936214,899
-404.369189634723,887
-401.802058622926,915
-399.235516900825,873
-396.669564468419,930
-394.104201325708,882
-391.539427472692,880
-388.975242909371,839
-386.411647635745,856
-383.848641651814,856
-381.286224957579,879
-378.724397553038,878
-376.163159438193,908
-373.602510613043,906
-371.042451077587,900
-368.482980831827,882
-365.924099875762,893
-363.365808209393,908
-360.808105832718,894
-358.250992745738,844
-355.694468948454,862
-353.138534440864,788
-350.58318922297,747
-348.028433294771,723
-345.474266656267,733
-342.920689307458,724
-340.367701248344,721
-337.815302478925,739
-335.263492999202,752
-332.712272809173,750
-330.16164190884,772
-327.611600298202,794
-325.062147977258,808
-322.51328494601,809
-319.965011204457,816
-317.4173267526,848
-314.870231590437,828
-312.323725717969,872
-309.777809135197,853
-307.232481842119,873
-304.687743838737,949
-302.14359512505,919
-299.600035701058,935
-297.057065566761,959
-294.514684722159,976
-291.972893167252,1026
-289.43169090204,1016
-286.891077926524,997
-284.351054240702,997
-281.811619844576,949
-279.272774738145,924
-276.734518921409,1004
-274.196852394368,1042
-271.659775157022,1027
-269.123287209371,1077
-266.587388551415,1086
-264.052079183155,1110
-261.517359104589,1157
-258.983228315719,1165
-256.449686816544,1168
-253.916734607063,1146
-251.384371687278,1129
-248.852598057188,1111
-246.321413716794,1178
-243.790818666094,1062
-241.260812905089,1090
-238.73139643378,1095
-236.202569252166,1111
-233.674331360246,1021
-231.146682758022,1020
-228.619623445493,1016
-226.093153422659,974
-223.56727268952,977
-221.041981246077,971
-218.517279092328,989
-215.993166228274,996
-213.469642653916,961
-210.946708369253,992
-208.424363374285,908
-205.902607669012,913
-203.381441253433,900
-200.860864127551,896
-198.340876291363,938
-195.82147774487,912
-193.302668488073,895
-190.78444852097,836
